timestamp__ms,temp__c,pressure__kpa,accel_x__m_s2,accel_y__m_s2,accel_z__m_s2,gyro_x_dps,gyro_y__dps,gyro_z__dps,e_alt__m,e_vel__m_s,e_acc__m_s2,e_bias,innovation0,innovation1,r1c1,r1c2,r1c3,r2c1,r2c2,r2c3,r3c1,r3c2,r3c3,effort
708862,18.020000457763672,99.7239990234375,0.4977070093154907,1.0815550088882446,9.834500312805176,0.0024429999757558107,0.0048859999515116215,0.019547000527381897,0.103057861328125,0.19990938901901245,0.5740846395492554,9.260415077209473,-0.29962480068206787,0.033499717712402344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708872,18.020000457763672,99.72200012207031,0.526419997215271,1.1102689504623413,9.79142951965332,0.0024429999757558107,0.0024429999757558107,0.017103999853134155,0.10275730490684509,0.19454896450042725,0.5067576766014099,9.284672737121582,-0.022321991622447968,-0.04306983947753906,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708882,18.010000228881836,99.7229995727539,0.5312060117721558,1.1294119358062744,9.79142951965332,0.0024429999757558107,0.0024429999757558107,0.017103999853134155,0.07656064629554749,0.06531810760498047,0.18848729133605957,9.60294246673584,-0.2700418531894684,-9.5367431640625e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708892,18.020000457763672,99.72100067138672,0.5838479995727539,1.1102689504623413,9.786643981933594,0.0024429999757558107,0.0048859999515116215,0.017103999853134155,0.0777788758277893,0.06985212862491608,0.1902078241109848,9.596436500549316,0.005326800048351288,-0.0047855377197265625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708902,18.010000228881836,99.72200012207031,0.5934200286865234,1.1341969966888428,9.757929801940918,0.0024429999757558107,0.0024429999757558107,0.019547000527381897,0.08754362165927887,0.11493530869483948,0.26519477367401123,9.492735862731934,0.08682681620121002,-0.02871417999267578,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708912,18.010000228881836,99.72000122070312,0.5886340141296387,1.1485539674758911,9.753144264221191,0.0,0.0024429999757558107,0.017103999853134155,0.09669700264930725,0.15568603575229645,0.3509253263473511,9.40221881866455,0.07660748064517975,-0.004786491394042969,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708922,18.020000457763672,99.7229995727539,0.6269189715385437,1.1389830112457275,9.757929801940918,0.0024429999757558107,0.0024429999757558107,0.014659999869763851,0.053533885627985,-0.05410660803318024,-0.15001428127288818,9.907943725585938,-0.4288988411426544,0.0047855377197265625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708932,18.010000228881836,99.7239990234375,0.6173480153083801,1.1389830112457275,9.767500877380371,0.0,0.0048859999515116215,0.012217000126838684,0.056091438978910446,-0.04079724848270416,-0.1058025136590004,9.873302459716797,0.02977835014462471,0.009571075439453125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708942,18.020000457763672,99.7229995727539,0.6221330165863037,1.1341969966888428,9.748358726501465,0.0,0.007329999934881926,0.007329999934881926,0.07572464644908905,0.05372333154082298,0.10247661918401718,9.645882606506348,0.19218559563159943,-0.019141197204589844,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708952,18.010000228881836,99.72100067138672,0.6269189715385437,1.1389830112457275,9.81535816192627,0.0,0.007329999934881926,0.0048859999515116215,0.08555527776479721,0.09903322160243988,0.27123382687568665,9.544122695922852,0.08904671669006348,0.06699848175048828,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
708962,18.010000228881836,99.72000122070312,0.6460620164871216,1.1581259965896606,9.796215057373047,-0.0024429999757558107,0.007329999934881926,0.0,0.07753036916255951,0.05869756266474724,0.15098628401756287,9.64522933959961,-0.08655916899442673,-0.019141197204589844,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
