Year,Month,Day,Time,Flight_Time_(s),Sync,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Quat_1,Quat_2,Quat_3,Quat_4,Aux_Volts,Current
2026,4,7,13:00:28.806,-2.038,117,0.2,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0360
2026,4,7,13:00:28.808,-2.036,119,0.2,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0340
2026,4,7,13:00:28.810,-2.034,121,0.2,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0330
2026,4,7,13:00:28.812,-2.032,123,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0310
2026,4,7,13:00:28.814,-2.030,125,0.0,0.1,0.2,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0340
2026,4,7,13:00:28.816,-2.028,127,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0250
2026,4,7,13:00:28.818,-2.026,129,0.2,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0260
2026,4,7,13:00:28.820,-2.024,131,0.0,0.2,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0340
2026,4,7,13:00:28.822,-2.022,133,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.056,0.0300
2026,4,7,13:00:28.824,-2.020,135,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0330
2026,4,7,13:00:28.826,-2.018,137,0.0,0.1,0.2,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0390
2026,4,7,13:00:28.828,-2.016,139,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0330
2026,4,7,13:00:28.830,-2.014,141,0.0,0.0,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00000,0.00000,0.055,0.0310
2026,4,7,13:00:28.832,-2.012,143,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00000,0.00003,0.00000,0.055,0.0310
2026,4,7,13:00:28.834,-2.010,145,0.0,0.1,0.2,-0.11,0.01,0.99,1.00000,0.00000,0.00003,0.00000,0.055,0.0360
2026,4,7,13:00:28.836,-2.008,147,0.2,0.2,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00000,0.055,0.0250
2026,4,7,13:00:28.838,-2.006,149,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00000,0.055,0.0380
2026,4,7,13:00:28.840,-2.004,151,0.0,0.1,0.2,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00000,0.055,0.0330
2026,4,7,13:00:28.842,-2.002,153,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.055,0.0410
2026,4,7,13:00:28.844,-2.000,155,0.0,0.2,0.2,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.055,0.0250
2026,4,7,13:00:28.846,-1.998,157,0.0,0.2,0.2,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.055,0.0310
2026,4,7,13:00:28.848,-1.996,159,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.055,0.0360
2026,4,7,13:00:28.850,-1.994,161,0.0,0.1,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.055,0.0340
2026,4,7,13:00:28.852,-1.992,163,0.0,0.0,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.056,0.0250
2026,4,7,13:00:28.854,-1.990,165,0.0,0.1,0.2,-0.11,0.01,0.99,1.00000,0.00003,0.00003,0.00003,0.055,0.0330
2026,4,7,13:00:28.856,-1.988,167,0.0,0.1,0.2,-0.11,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.055,0.0410
2026,4,7,13:00:28.858,-1.986,169,0.0,0.1,0.0,-0.11,0.01,0.98,1.00000,0.00003,0.00007,0.00003,0.055,0.0360
2026,4,7,13:00:28.860,-1.984,171,0.0,0.2,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.056,0.0280
2026,4,7,13:00:28.862,-1.982,173,0.0,0.2,0.0,-0.11,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.055,0.0310
2026,4,7,13:00:28.864,-1.980,175,0.0,0.2,0.0,-0.12,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.055,0.0250
2026,4,7,13:00:28.866,-1.978,177,0.0,0.1,0.0,-0.12,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.056,0.0310
2026,4,7,13:00:28.868,-1.976,179,0.0,0.1,0.0,-0.12,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.055,0.0220
2026,4,7,13:00:28.870,-1.974,181,0.0,0.1,0.0,-0.12,0.01,0.99,1.00000,0.00003,0.00007,0.00003,0.055,0.0380
2026,4,7,13:00:28.872,-1.972,183,0.0,0.1,0.0,-0.12,0.01,0.98,1.00000,0.00003,0.00007,0.00003,0.056,0.0300
2026,4,7,13:00:28.874,-1.970,185,0.0,0.2,0.0,-0.12,0.02,0.99,1.00000,0.00003,0.00010,0.00003,0.055,0.0280
2026,4,7,13:00:28.876,-1.968,187,-0.1,0.1,0.0,-0.12,0.01,0.99,1.00000,0.00003,0.00010,0.00003,0.055,0.0300
2026,4,7,13:00:28.878,-1.966,189,0.0,0.1,-0.1,-0.12,0.01,0.99,1.00000,0.00003,0.00010,0.00003,0.056,0.0300
2026,4,7,13:00:28.880,-1.964,191,0.0,0.1,-0.1,-0.12,0.01,0.99,1.00000,0.00003,0.00010,0.00003,0.055,0.0310
