,timestamp,packed,latfrac,lonfrac,ox,oy,oz,flight_state,o2,o3,voltage,current,temp,flip_status,time,sec,sats,gps_speed,gps_alt
33,34.9534,3305645465429115792,0,0,-0.7559055118110236,0.6299212598425197,-0.14173228346456693,Flight,133,214,8.2,0,27,255,19:18:05,69485,6,3,2936
34,35.9589,3311273865451703136,0,0,-0.5039370078740157,0.47244094488188976,-0.7086614173228346,Flight,122,32,8.21,0,27,255,19:18:06,69486,6,2,2941
35,36.974,3332665963681714992,0,0,-0.5748031496062992,0.3700787401574803,-0.7244094488188977,Flight,146,55,8.2,0,27,255,19:18:07,69487,6,2,2960
36,37.9733,3345050862388550400,0,0,-0.8976377952755905,0.25196850393700787,-0.3464566929133858,Flight,114,165,8.2,0,27,255,19:18:08,69488,5,2,2971
37,38.9864,3357434661852193488,0,0,-0.5748031496062992,0.25196850393700787,-0.7716535433070866,Flight,90,216,8.21,0,27,255,19:18:09,69489,5,1,2982
38,39.9926,3366441861375371936,0,0,-0.2047244094488189,0.023622047244094488,-0.9763779527559056,Flight,10,161,8.2,0,27,255,19:18:10,69490,6,1,2990
39,39.9926,3366441861375371936,0,0,-0.4094488188976378,-0.8346456692913385,-0.33858267716535434,Flight,14,227,8.2,0,28,255,19:18:10,69490,6,1,2990
40,41.0014,3376576060048585328,0,0,0.29133858267716534,-0.47244094488188976,-0.8188976377952756,Flight,80,115,8.2,0,28,255,19:18:11,69491,6,2,2999
41,42.0125,3384456260421728832,0,0,0.2992125984251969,-0.4330708661417323,-0.84251968503937,Flight,250,238,8.2,0,28,255,19:18:12,69492,8,1,3006
42,43.0204,3378827860399145488,0,0,-0.11811023622047244,-0.13385826771653545,-0.9763779527559056,Flight,187,180,8.2,0,28,255,19:18:13,69493,8,2,3001
43,44.0252,3356309862530730464,0,0,-0.14173228346456693,-0.7559055118110236,-0.6299212598425197,Flight,74,112,8.21,0,28,255,19:18:14,69494,9,2,2981
44,45.0443,3354056962936983984,0,0,-0.06299212598425197,-0.5984251968503937,-0.7952755905511811,Flight,148,120,8.2,0,28,255,19:18:15,69495,8,1,2979
45,46.0429,3357435761900706176,0,0,-0.10236220472440945,-0.3543307086614173,-0.9212598425196851,Flight,54,246,8.2,0,28,255,19:18:16,69496,7,2,2982
46,47.0514,3359687561714393424,0,0,0.007874015748031496,-0.3937007874015748,-0.9133858267716536,Flight,90,254,8.2,0,28,255,19:18:17,69497,7,2,2984
47,48.067,3339421364196534560,0,0,0.08661417322834646,-0.3937007874015748,-0.905511811023622,Flight,4,132,8.2,0,28,255,19:18:18,69498,10,2,2966
48,49.0626,3313526765582348528,0,0,-0.16535433070866143,-0.3937007874015748,-0.8976377952755905,Flight,175,8,8.2,0,28,255,19:18:19,69499,9,3,2943
49,50.0801,3304519565790738624,0,0,-0.007874015748031496,-0.7637795275590551,-0.6377952755905512,Flight,133,214,8.2,0,28,255,19:18:20,69500,7,3,2935
50,51.0806,3291007667665436816,0,0,-0.06299212598425197,-0.8267716535433071,-0.5433070866141733,Flight,122,32,8.2,0,28,255,19:18:21,69501,8,2,2923
51,52.0993,3307898365291333728,0,0,0.06299212598425197,-0.5275590551181102,-0.84251968503937,Flight,146,55,8.2,0,28,255,19:18:22,69502,8,4,2938
52,53.0955,3309023165686550576,0,0,-0.047244094488188976,-0.49606299212598426,-0.8582677165354331,Flight,114,165,8.2,0,28,255,19:18:23,69503,8,3,2939
53,54.1179,3304519566327617536,0,0,0.07086614173228346,-0.09448818897637795,-0.984251968503937,Flight,90,216,8.2,0,28,255,19:18:24,69504,9,3,2935
54,55.1091,3296638266442850256,0,0,0.07086614173228346,-0.1889763779527559,-0.9763779527559056,Flight,10,161,8.2,0,28,255,19:18:25,69505,7,3,2928
55,56.1216,3301141865801787296,0,0,0.047244094488188976,-0.18110236220472442,-0.9763779527559056,Flight,14,227,8.21,0,28,255,19:18:26,69506,6,3,2932
56,57.1239,3296638266174418800,0,0,0.11023622047244094,-0.15748031496062992,-0.9763779527559056,Flight,80,115,8.2,0,28,255,19:18:27,69507,6,3,2928
57,58.1365,3296638265905985344,0,0,-0.2755905511811024,-0.2125984251968504,-0.9291338582677166,Flight,250,238,8.2,0,28,255,19:18:28,69508,5,3,2928
58,59.1399,3292134666547052304,0,0,-0.14960629921259844,-0.13385826771653545,-0.9763779527559056,Flight,187,180,8.2,0,28,255,19:18:29,69509,6,3,2924
59,60.1579,3288756966826526432,0,0,-0.25984251968503935,-0.23622047244094488,-0.9291338582677166,Flight,74,112,8.2,0,28,255,19:18:30,69510,6,3,2921
60,61.1573,3276372067851259568,0,0,-0.2677165354330709,-0.08661417322834646,-0.952755905511811,Flight,148,120,8.2,0,28,255,19:18:31,69511,6,3,2910
61,62.1771,3247096471786968704,0,0,-0.41732283464566927,-0.23622047244094488,-0.8740157480314961,Flight,54,246,8.2,0,28,255,19:18:32,69512,8,1,2884
62,63.1731,3236963372088516176,0,0,-0.6220472440944882,-0.015748031496062992,-0.7795275590551181,Flight,90,254,8.2,0,28,255,19:18:33,69513,6,1,2875
63,64.1894,3247097571030165024,0,0,-0.6220472440944882,0.015748031496062992,-0.7716535433070866,Flight,4,132,8.19,0,28,255,19:18:34,69514,7,2,2884
64,65.1871,3250474171239067120,0,0,-0.6377952755905512,-0.05511811023622047,-0.7637795275590551,Flight,175,8,8.2,0,28,255,19:18:35,69515,7,1,2887
65,66.1999,3251598971097413056,0,0,-0.7716535433070866,-0.10236220472440945,-0.6141732283464567,Flight,133,214,8.19,0,28,255,19:18:36,69516,5,0,2888
66,67.2138,3252724871004257680,0,0,-0.5275590551181102,0.047244094488188976,-0.84251968503937,Flight,122,32,8.2,0,28,255,19:18:37,69517,5,0,2889
67,68.2299,3252724872078001504,0,0,-0.4330708661417323,0.0,-0.8976377952755905,Flight,146,55,8.19,0,28,255,19:18:38,69518,9,0,2889
68,69.9979,3252724833423295840,0,0,-0.18110236220472442,-0.2047244094488189,-0.952755905511811,Flight,114,165,8.2,0,28,255,19:18:38,69518,9,0,2889
69,70.9981,3252724833423295840,0,0,-0.33858267716535434,0.0,-0.937007874015748,Flight,90,216,8.2,0,28,255,19:18:38,69518,9,0,2889
70,71.998,3252724833423295840,0,0,-0.5826771653543307,-0.36220472440944884,-0.7165354330708661,Flight,10,161,8.19,0,28,255,19:18:38,69518,9,0,2889
71,72.9979,3252724833423295840,0,0,-0.48031496062992124,-0.2283464566929134,-0.8346456692913385,Flight,14,227,8.2,0,28,255,19:18:38,69518,9,0,2889
72,73.9979,3252724833423295840,0,0,-0.49606299212598426,-0.3464566929133858,-0.7874015748031497,Flight,80,115,8.2,0,28,255,19:18:38,69518,9,0,2889
73,74.2613,3248227868446667840,0,0,-0.49606299212598426,-0.25196850393700787,-0.8188976377952756,Flight,250,238,8.19,0,28,255,19:18:44,69524,5,6,2885
74,75.9979,3248227829791962176,0,0,-0.3858267716535433,-0.1889763779527559,-0.8976377952755905,Flight,187,180,8.19,0,28,255,19:18:44,69524,5,6,2885
75,76.9979,3248227829791962176,0,0,-0.2440944881889764,-0.2047244094488189,-0.937007874015748,Flight,74,112,8.2,0,28,255,19:18:44,69524,5,6,2885
76,77.998,3248227829791962176,0,0,-0.1732283464566929,-0.023622047244094488,-0.9763779527559056,Flight,148,120,8.19,0,28,255,19:18:44,69524,5,6,2885
77,78.9987,3248227829791962176,0,0,-0.6220472440944882,-0.3228346456692913,-0.7007874015748031,Flight,54,246,8.2,0,28,255,19:18:44,69524,5,6,2885
78,79.9979,3248227829791962176,0,0,-0.2283464566929134,-0.047244094488188976,-0.968503937007874,Flight,90,254,8.19,0,28,255,19:18:44,69524,5,6,2885
79,80.3059,3217828570693493536,0,0,-0.5118110236220472,-0.2992125984251969,-0.7952755905511811,Flight,4,132,8.19,0,28,255,19:18:50,69530,4,6,2858
80,81.9979,3217828532038787872,0,0,-0.6456692913385826,-0.047244094488188976,-0.7559055118110236,Flight,175,8,8.2,0,28,255,19:18:50,69530,4,6,2858
81,82.9987,3217828532038787872,0,0,-0.4645669291338583,-0.023622047244094488,-0.8740157480314961,Flight,133,214,8.19,0,28,255,19:18:50,69530,4,6,2858
82,83.9979,3217828532038787872,0,0,-0.49606299212598426,-0.2125984251968504,-0.8346456692913385,Flight,122,32,8.2,0,28,255,19:18:50,69530,4,6,2858
83,84.3406,3086092784303211104,0,0,-0.5984251968503937,-0.2125984251968504,-0.7637795275590551,Flight,146,55,8.2,0,28,255,19:18:54,69534,5,1,2741
84,85.998,3086092745648505440,0,0,-0.7086614173228346,-0.3464566929133858,-0.5984251968503937,Flight,114,165,8.19,0,28,255,19:18:54,69534,5,1,2741
85,86.3564,2955491693912789504,0,0,-0.6141732283464567,-0.3937007874015748,-0.6771653543307087,Flight,90,216,8.2,0,28,255,19:18:56,69536,6,4,2625
86,87.9979,2955491655258083840,0,0,-0.4881889763779528,-0.28346456692913385,-0.8188976377952756,Flight,10,161,8.19,0,28,255,19:18:56,69536,6,4,2625
87,88.9979,2955491655258083840,0,0,0.07086614173228346,-0.06299212598425197,-0.9921259842519685,Flight,14,227,8.2,0,28,255,19:18:56,69536,6,4,2625
88,89.3759,2931847795600664944,0,0,-0.5984251968503937,0.23622047244094488,-0.7559055118110236,Flight,80,115,8.19,0,28,255,19:18:59,69539,5,4,2604
89,90.3896,2955490594132734272,0,0,0.30708661417322836,-0.2677165354330709,-0.905511811023622,Flight,250,238,8.19,0,28,255,19:19:00,69540,5,3,2625
90,91.3957,3074835983721183504,0,0,-0.15748031496062992,-0.2440944881889764,-0.952755905511811,Flight,187,180,8.2,0,28,255,19:19:01,69541,3,3,2731
91,92.4141,3072584184444371168,0,0,-0.13385826771653545,-0.8740157480314961,-0.44881889763779526,Flight,74,112,8.19,0,28,255,19:19:02,69542,5,3,2729
92,93.9979,3072584145789665504,0,0,-0.031496062992125984,0.07086614173228346,-0.9921259842519685,Flight,148,120,8.18,0,28,255,19:19:02,69542,5,3,2729
93,94.9984,3072584145789665504,0,0,-0.18110236220472442,-0.031496062992125984,-0.9763779527559056,Flight,54,246,8.19,0,28,255,19:19:02,69542,5,3,2729
94,95.9984,3072584145789665504,0,0,-0.23622047244094488,0.0,-0.968503937007874,Flight,90,254,8.19,0,28,255,19:19:02,69542,5,3,2729
95,96.9984,3072584145789665504,0,0,-0.5433070866141733,-0.18110236220472442,-0.8110236220472441,Flight,4,132,8.2,0,28,255,19:19:02,69542,5,3,2729
96,97.4447,3125502579040741360,0,0,-0.4330708661417323,-0.11811023622047244,-0.889763779527559,Flight,175,8,8.19,0,28,255,19:19:07,69547,3,4,2776
97,98.4611,3126629578996084672,0,0,-0.5984251968503937,-0.10236220472440945,-0.7874015748031497,Flight,133,214,8.2,0,28,255,19:19:08,69548,5,5,2777
98,99.4619,3133382778877015952,0,0,-0.7637795275590551,-0.15748031496062992,-0.6220472440944882,Flight,122,32,8.19,0,28,255,19:19:09,69549,3,3,2783
99,100.4725,3152521977781714784,0,0,-0.7165354330708661,0.023622047244094488,-0.6850393700787402,Flight,146,55,8.19,0,28,255,19:19:10,69550,3,2,2800
100,101.4951,3141272874854811440,0,0,-0.7401574803149606,-0.13385826771653545,-0.6456692913385826,Flight,114,165,8.2,0,28,255,19:19:11,69551,5,11,2790
101,102.491,3131146373031431936,0,0,-0.41732283464566927,-0.05511811023622047,-0.905511811023622,Flight,90,216,8.19,0,28,255,19:19:12,69552,6,17,2781
102,103.5038,3131147472006190800,0,0,-0.5275590551181102,-0.03937007874015748,-0.84251968503937,Flight,10,161,8.2,0,29,255,19:19:13,69553,4,18,2781
103,104.5229,3131147472274628256,0,0,-0.5433070866141733,-0.36220472440944884,-0.7480314960629921,Flight,14,227,8.19,0,29,255,19:19:14,69554,5,18,2781
104,105.5112,3149159671223985776,0,0,-0.28346456692913385,-0.49606299212598426,-0.8110236220472441,Flight,80,115,8.19,0,29,255,19:19:15,69555,3,16,2797
105,106.5246,3141278371876089408,0,0,-0.6220472440944882,-0.41732283464566927,-0.6535433070866141,Flight,250,238,8.2,0,29,255,19:19:16,69556,3,16,2790
106,107.9984,3141278333221383744,0,0,-0.5984251968503937,-0.47244094488188976,-0.6377952755905512,Flight,187,180,8.19,0,29,255,19:19:16,69556,3,16,2790
107,108.9978,3141278333221383744,0,0,-0.33858267716535434,-0.8110236220472441,-0.4566929133858268,Flight,74,112,8.2,0,29,255,19:19:16,69556,3,16,2790
