timestamp__ms,state_and_upcounter,temp__cc,pressure__kpa,accel_x__m_s2,accel_y__m_s2,accel_z__m_s2,gyro_x__dps,gyro_y__dps,gyro_z__dps,e_alt__m,e_vel__m_s,e_acc__m_s2,e_bias,innovation0,innovation1,r1c1,r1c2,r1c3,r2c1,r2c2,r2c3,r3c1,r3c2,r3c3,effort
1422110,0,3611,97.97799682617188,0.26799601316452026,1.0241279602050781,9.753144264221191,0.0,0.007329999934881926,0.00977300014346838,0.20124411582946777,0.44938334822654724,0.016712188720703125,9.736432075500488,0.3560006320476532,-0.057425498962402344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422120,0,3612,97.9729995727539,0.27278101444244385,1.0193419456481934,9.805787086486816,-0.0024429999757558107,0.007329999934881926,0.00977300014346838,0.22044003009796143,0.5196438431739807,0.23295879364013672,9.572826385498047,0.14094090461730957,0.052642822265625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422130,0,3611,97.97899627685547,0.2632099986076355,1.0289130210876465,9.82014274597168,-0.0024429999757558107,0.007329999934881926,0.007329999934881926,0.19307726621627808,0.36668047308921814,-0.12139129638671875,9.941534042358398,-0.31225699186325073,0.014357566833496094,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422140,0,3612,97.97799682617188,0.23449599742889404,1.0097709894180298,9.801000595092773,-0.0024429999757558107,0.0048859999515116215,0.0024429999757558107,0.20334412157535553,0.396963506937027,-0.06497859954833984,9.865979194641113,0.06333279609680176,-0.01914215087890625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422150,0,3612,97.97899627685547,0.23449599742889404,1.0001989603042603,9.772287368774414,-0.0024429999757558107,0.007329999934881926,0.0048859999515116215,0.1856864094734192,0.2932131886482239,-0.3366584777832031,10.108945846557617,-0.2073105126619339,-0.028713226318359375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422160,0,3612,97.97799682617188,0.19621099531650543,0.9762709736824036,9.805787086486816,-0.0024429999757558107,0.007329999934881926,0.0048859999515116215,0.15083882212638855,0.10979878902435303,-0.7314434051513672,10.537230491638184,-0.36203309893608093,0.033499717712402344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422170,0,3612,97.97699737548828,0.2249249964952469,1.0001989603042603,9.82014274597168,-0.0024429999757558107,0.007329999934881926,0.007329999934881926,0.15414611995220184,0.11319231241941452,-0.6923952102661133,10.512537002563477,0.021531149744987488,0.014355659484863281,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422180,0,3612,97.97899627685547,0.26799601316452026,0.9475569725036621,9.757929801940918,-0.0024429999757558107,0.0048859999515116215,0.007329999934881926,0.13905031979084015,0.029062045738101006,-0.9346122741699219,10.692543029785156,-0.1552434265613556,-0.06221199035644531,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422190,0,3612,97.98100280761719,0.2584240138530731,1.0097709894180298,9.834500312805176,-0.0024429999757558107,0.0048859999515116215,0.012217000126838684,0.12476473301649094,-0.04955843463540077,-1.0258617401123047,10.860360145568848,-0.13929420709609985,0.0765695571899414,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422200,0,3612,97.9739990234375,0.2584240138530731,1.0241279602050781,9.77707290649414,-0.0024429999757558107,0.007329999934881926,0.014659999869763851,0.120294950902462,-0.07852090895175934,-1.1248779296875,10.90195083618164,-0.03760897368192673,-0.057425498962402344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422210,0,3612,97.97799682617188,0.2871379852294922,1.038485050201416,9.82971477508545,-0.0024429999757558107,0.007329999934881926,0.014659999869763851,0.09793729335069656,-0.19235572218894958,-1.3178577423095703,11.147573471069336,-0.20627599954605103,0.052641868591308594,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422220,0,3611,97.9739990234375,0.2871379852294922,1.0241279602050781,9.748358726501465,-0.0024429999757558107,0.007329999934881926,0.014659999869763851,0.12212342768907547,-0.08073307573795319,-1.0995779037475586,10.847936630249023,0.25094544887542725,-0.08135700225830078,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422230,0,3612,97.97599792480469,0.22013899683952332,0.9379860162734985,9.796215057373047,-0.0048859999515116215,0.0048859999515116215,0.012217000126838684,0.11764661967754364,-0.10896223783493042,-1.0948429107666016,10.891057014465332,-0.0346522331237793,0.04785633087158203,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1422240,0,3612,97.97899627685547,0.2584240138530731,1.0001989603042603,9.882356643676758,-0.0024429999757558107,0.0048859999515116215,0.007329999934881926,0.09531616419553757,-0.22092273831367493,-1.2521896362304688,11.134544372558594,-0.20311114192008972,0.08614253997802734,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
