timestamp (ms),accx (m/s^2),accy (m/s^2),accz (m/s^2),gyrox (rad/s),gyroy (rad/s),gyroz (rad/s),pressure (kPa)
0,-0.3440000116825104,0.9470000267028809,10.375,0.007000000216066837,-0.023000000044703484,0.020999999716877937,0.0
4,-0.33000001311302185,0.9330000281333923,10.451000213623047,0.007000000216066837,-0.02500000037252903,0.028999999165534973,0.0
6,-0.33899998664855957,0.9369999766349792,10.402999877929688,0.013000000268220901,-0.023000000044703484,0.028999999165534973,0.0
8,-0.3009999990463257,0.9179999828338623,10.437000274658203,0.017000000923871994,-0.03400000184774399,0.028999999165534973,0.0
10,-0.3009999990463257,0.8989999890327454,10.465999603271484,0.0020000000949949026,-0.02800000086426735,0.03700000047683716,0.0
14,-0.28700000047683716,0.8799999952316284,10.402999877929688,0.0010000000474974513,-0.03200000151991844,0.008999999612569809,0.0
16,-0.3869999945163727,0.8510000109672546,10.407999992370605,0.013000000268220901,-0.017999999225139618,0.029999999329447746,0.0
18,-0.3970000147819519,0.9089999794960022,10.461000442504883,0.013000000268220901,-0.03200000151991844,0.008999999612569809,0.0
20,-0.38199999928474426,0.9089999794960022,10.369999885559082,0.012000000104308128,-0.03400000184774399,0.023000000044703484,0.0
22,-0.3779999911785126,0.9369999766349792,10.407999992370605,0.008999999612569809,-0.02500000037252903,0.012000000104308128,0.0
25,-0.38199999928474426,0.9419999718666077,10.388999938964844,0.017999999225139618,-0.02800000086426735,0.03700000047683716,0.0
27,-0.33899998664855957,0.9660000205039978,10.446999549865723,0.019999999552965164,-0.02800000086426735,0.019999999552965164,0.0
29,-0.3109999895095825,0.9660000205039978,10.413000106811523,0.012000000104308128,-0.02800000086426735,0.02500000037252903,0.0
31,-0.33000001311302185,0.9570000171661377,10.442000389099121,0.013000000268220901,-0.02500000037252903,0.019999999552965164,0.0
35,-0.2720000147819519,0.8989999890327454,10.39900016784668,0.008999999612569809,-0.023000000044703484,0.035999998450279236,0.0
37,-0.3630000054836273,0.9279999732971191,10.437000274658203,0.01899999938905239,-0.03500000014901161,0.02800000086426735,0.0
39,-0.33399999141693115,0.8899999856948853,10.402999877929688,0.004000000189989805,-0.028999999165534973,0.028999999165534973,0.0
41,-0.33000001311302185,0.9330000281333923,10.470000267028809,0.006000000052154064,-0.02500000037252903,0.02500000037252903,0.0
45,-0.3779999911785126,0.9419999718666077,10.475000381469727,0.013000000268220901,-0.03099999949336052,0.026000000536441803,0.0
47,-0.3440000116825104,0.9950000047683716,10.437000274658203,0.006000000052154064,-0.028999999165534973,0.01899999938905239,0.0
49,-0.33000001311302185,0.8510000109672546,10.394000053405762,0.014000000432133675,-0.023000000044703484,0.02800000086426735,0.0
51,-0.3109999895095825,0.9139999747276306,10.427000045776367,0.003000000026077032,-0.029999999329447746,0.028999999165534973,0.0
55,-0.29600000381469727,0.9279999732971191,10.39900016784668,0.0020000000949949026,-0.019999999552965164,0.020999999716877937,0.0
57,-0.28200000524520874,0.9369999766349792,10.451000213623047,0.0010000000474974513,-0.03200000151991844,0.017999999225139618,0.0
59,-0.4009999930858612,0.9229999780654907,10.437000274658203,0.017999999225139618,-0.02500000037252903,0.019999999552965164,0.0
61,-0.3149999976158142,1.0240000486373901,10.394000053405762,0.008999999612569809,-0.02800000086426735,0.029999999329447746,0.0
65,-0.3490000069141388,0.9810000061988831,10.407999992370605,0.008999999612569809,-0.026000000536441803,0.020999999716877937,0.0
