timestamp (ms),pressure (kPa),temperature (degrees C)
-4727,86.63499450683594,35.45000076293945
-4717,86.63481903076172,35.45000076293945
-4707,86.63481903076172,35.45000076293945
-4697,86.63481903076172,35.45000076293945
-4688,86.63481903076172,35.45000076293945
-4678,86.63410949707031,35.45000076293945
-4667,86.63410949707031,35.45000076293945
-4657,86.63410949707031,35.45000076293945
-4648,86.63410949707031,35.45000076293945
-4638,86.63410949707031,35.45000076293945
-4627,86.63410949707031,35.45000076293945
-4617,86.63410949707031,35.45000076293945
-4607,86.63410949707031,35.45000076293945
-4598,86.63322448730469,35.45000076293945
-4587,86.63322448730469,35.45000076293945
-4577,86.63322448730469,35.45000076293945
-4567,86.63322448730469,35.45000076293945
-4558,86.63340759277344,35.45000076293945
-4548,86.63340759277344,35.45000076293945
-4537,86.63340759277344,35.45000076293945
-4527,86.63340759277344,35.45000076293945
-4518,86.63410949707031,35.45000076293945
-4508,86.63410949707031,35.45000076293945
-4497,86.63410949707031,35.45000076293945
-4487,86.63410949707031,35.45000076293945
-4478,86.63446044921875,35.45000076293945
-4468,86.63446044921875,35.45000076293945
-4457,86.63446044921875,35.45000076293945
-4447,86.63446044921875,35.45000076293945
-4437,86.6339340209961,35.45000076293945
-4428,86.6339340209961,35.45000076293945
-4417,86.6339340209961,35.45000076293945
-4407,86.63410949707031,35.45000076293945
-4397,86.63410949707031,35.45000076293945
-4388,86.63410949707031,35.45000076293945
-4378,86.63410949707031,35.45000076293945
-4367,86.63428497314453,35.45000076293945
-4357,86.63428497314453,35.45000076293945
-4347,86.63428497314453,35.45000076293945
-4338,86.63428497314453,35.45000076293945
-4327,86.63428497314453,35.45000076293945
-4317,86.63428497314453,35.45000076293945
-4307,86.63428497314453,35.45000076293945
-4298,86.63428497314453,35.45000076293945
-4288,86.63410949707031,35.45000076293945
-4277,86.63410949707031,35.45000076293945
-4267,86.63410949707031,35.45000076293945
-4258,86.63410949707031,35.45000076293945
-4248,86.6339340209961,35.45000076293945
-4237,86.6339340209961,35.45000076293945
-4227,86.6339340209961,35.45000076293945
-4218,86.6339340209961,35.45000076293945
-4208,86.63375854492188,35.45000076293945
-4197,86.63375854492188,35.45000076293945
-4187,86.63375854492188,35.45000076293945
-4178,86.63375854492188,35.45000076293945
-4168,86.63410949707031,35.45000076293945
-4157,86.63410949707031,35.45000076293945
-4147,86.63410949707031,35.45000076293945
-4137,86.63410949707031,35.45000076293945
-4128,86.63358306884766,35.45000076293945
-4118,86.63358306884766,35.45000076293945
-4107,86.63358306884766,35.45000076293945
-4097,86.63429260253906,35.459999084472656
-4088,86.63429260253906,35.459999084472656
-4078,86.63429260253906,35.459999084472656
-4067,86.63429260253906,35.459999084472656
-4057,86.6339340209961,35.45000076293945
-4048,86.6339340209961,35.45000076293945
-4038,86.6339340209961,35.45000076293945
-4027,86.6339340209961,35.45000076293945
-4017,86.63322448730469,35.45000076293945
-4008,86.63322448730469,35.45000076293945
-3998,86.63322448730469,35.45000076293945
-3987,86.63322448730469,35.45000076293945
-3977,86.63322448730469,35.45000076293945
-3967,86.63322448730469,35.45000076293945
-3958,86.63322448730469,35.45000076293945
-3948,86.63322448730469,35.45000076293945
-3937,86.633056640625,35.45000076293945
-3927,86.633056640625,35.45000076293945
-3918,86.633056640625,35.45000076293945
-3907,86.633056640625,35.45000076293945
-3897,86.63217163085938,35.45000076293945
-3887,86.63217163085938,35.45000076293945
-3878,86.63217163085938,35.45000076293945
-3868,86.63217163085938,35.45000076293945
-3857,86.63182067871094,35.45000076293945
-3847,86.63182067871094,35.45000076293945
-3838,86.63182067871094,35.45000076293945
-3827,86.63269805908203,35.45000076293945
-3817,86.63269805908203,35.45000076293945
-3807,86.63269805908203,35.45000076293945
-3798,86.63269805908203,35.45000076293945
-3788,86.63375854492188,35.45000076293945
-3777,86.63375854492188,35.45000076293945
-3767,86.63375854492188,35.45000076293945
-3758,86.63375854492188,35.45000076293945
-3748,86.63375854492188,35.45000076293945
-3737,86.63375854492188,35.45000076293945
-3727,86.63375854492188,35.45000076293945
-3717,86.63375854492188,35.45000076293945
-3708,86.63304901123047,35.45000076293945
-3697,86.63304901123047,35.45000076293945
-3687,86.63304901123047,35.45000076293945
-3678,86.63304901123047,35.45000076293945
-3668,86.63358306884766,35.45000076293945
-3657,86.63358306884766,35.45000076293945
-3647,86.63358306884766,35.45000076293945
-3638,86.63358306884766,35.45000076293945
-3628,86.6339340209961,35.45000076293945
-3618,86.6339340209961,35.45000076293945
-3607,86.6339340209961,35.45000076293945
-3597,86.6339340209961,35.45000076293945
-3588,86.63410949707031,35.45000076293945
-3578,86.63410949707031,35.45000076293945
-3567,86.63410949707031,35.45000076293945
-3557,86.63410949707031,35.45000076293945
-3548,86.6339340209961,35.45000076293945
-3538,86.6339340209961,35.45000076293945
-3527,86.6339340209961,35.45000076293945
-3517,86.63375854492188,35.45000076293945
-3508,86.63375854492188,35.45000076293945
-3498,86.63375854492188,35.45000076293945
-3487,86.63375854492188,35.45000076293945
-3477,86.63322448730469,35.45000076293945
-3467,86.63322448730469,35.45000076293945
-3458,86.63322448730469,35.45000076293945
-3448,86.63322448730469,35.45000076293945
-3437,86.63288116455078,35.45000076293945
-3427,86.63288116455078,35.45000076293945
-3418,86.63288116455078,35.45000076293945
-3408,86.63288116455078,35.45000076293945
-3397,86.63358306884766,35.45000076293945
-3387,86.63358306884766,35.45000076293945
-3378,86.63358306884766,35.45000076293945
-3368,86.63358306884766,35.45000076293945
-3357,86.6339340209961,35.45000076293945
-3347,86.6339340209961,35.45000076293945
-3338,86.6339340209961,35.45000076293945
-3328,86.6339340209961,35.45000076293945
-3317,86.63410949707031,35.45000076293945
-3307,86.63410949707031,35.45000076293945
-3298,86.63410949707031,35.45000076293945
-3288,86.63410949707031,35.45000076293945
-3277,86.63516998291016,35.45000076293945
-3267,86.63516998291016,35.45000076293945
-3257,86.63516998291016,35.45000076293945
-3248,86.63516998291016,35.45000076293945
-3237,86.63534545898438,35.45000076293945
-3227,86.63534545898438,35.45000076293945
-3217,86.63534545898438,35.45000076293945
-3208,86.6355209350586,35.45000076293945
-3198,86.6355209350586,35.45000076293945
-3187,86.6355209350586,35.45000076293945
-3177,86.6355209350586,35.45000076293945
-3168,86.63639831542969,35.45000076293945
-3158,86.63639831542969,35.45000076293945
-3147,86.63639831542969,35.45000076293945
