timestamp__ms,temp__C,pressure__kpa,accel_x__m_s2,accel_y__m_s2,accel_z__m_s2,gyro_x__dps,gyro_y__dps,gyro_z__dps,e_alt__m,e_vel__m_s,e_acc__m_s2,e_bias,innovation0,innovation1,r1c1,r1c2,r1c3,r2c1,r2c2,r2c3,r3c1,r3c2,r3c3,effort
1415416, 5.539999961853027, 99.90799713134766, 6.652046203613281, 7.355535984039307, -0.5455629825592041, -0.0024429999757558107, 0.00977300014346838, -0.0024429999757558107, -0.12606492638587952, -0.151007741689682, -0.1247706413269043, 10.02962589263916, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415426, 5.539999961853027, 99.90699768066406, 6.561119079589844, 7.4799628257751465, -0.22970999777317047, -0.017103999853134155, -0.0048859999515116215, 0.0, 0.1404941827058792, 0.32554891705513, 0.27395308017730713, 9.654590606689453, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415436, 5.539999961853027, 99.90699768066406, 6.427121162414551, 7.59960412979126, -0.05264199897646904, -0.012217000126838684, -0.012217000126838684, 0.0024429999757558107, 0.4021308422088623, 0.7887897491455078, 0.6256239414215088, 9.292768478393555, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415446, 5.550000190734863, 99.90499877929688, 6.436692237854004, 7.542176246643066, -0.4402790069580078, 0.00977300014346838, 0.0, 0.007329999934881926, 0.4801850914955139, 0.9200512170791626, 0.6903485059738159, 9.19420337677002, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415456, 5.539999961853027, 99.90499877929688, 6.709474086761475, 7.240681171417236, -0.799202024936676, 0.017103999853134155, 0.017103999853134155, 0.007329999934881926, 0.5726737380027771, 1.075341820716858, 0.7868233323097229, 9.077424049377441, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415466, 5.550000190734863, 99.90299987792969, 6.680759906768799, 7.269394874572754, -0.4594210088253021, -0.021990999579429626, -0.017103999853134155, 0.0048859999515116215, 0.39748144149780273, 0.7517196536064148, 0.5264495015144348, 9.337799072265625, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415476, 5.539999961853027, 99.9020004272461, 6.585046768188477, 7.355535984039307, -0.5359920263290405, -0.0048859999515116215, -0.007329999934881926, 0.0048859999515116215, 0.6300921440124512, 1.158132791519165, 0.8348438143730164, 9.022634506225586, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415486, 5.550000190734863, 99.90599822998047, 6.671188831329346, 7.293323040008545, -0.6843469738960266, 0.017103999853134155, 0.019547000527381897, 0.0048859999515116215, 0.24299877882003784, 0.4558289647102356, 0.29338234663009644, 9.581016540527344, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415496, 5.550000190734863, 99.90499877929688, 6.781259059906006, 7.221538066864014, -0.47377800941467285, -0.0024429999757558107, 0.00977300014346838, 0.0024429999757558107, 0.3754197359085083, 0.6866326928138733, 0.499136745929718, 9.402334213256836, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415506, 5.539999961853027, 99.9010009765625, 6.5898332595825195, 7.422534942626953, -0.22013899683952332, -0.024434000253677368, -0.019547000527381897, 0.0048859999515116215, 0.7637909650802612, 1.371554970741272, 1.0398937463760376, 8.868346214294434, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415516, 5.550000190734863, 99.91000366210938, 6.39362096786499, 7.633103847503662, -0.26799601316452026, -0.014659999869763851, -0.021990999579429626, 0.007329999934881926, 0.10483938455581665, 0.18293285369873047, 0.10814005136489868, 9.810251235961914, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415526, 5.539999961853027, 99.91799926757812, 19.898712158203125, 23.30609130859375, -0.894914984703064, -0.32742300629615784, -0.27611100673675537, 0.0024429999757558107, -0.47427797317504883, -0.8514456152915955, 19.696807861328125, 10.8535737991333, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415536, 5.550000190734863, 99.91000366210938, -31.838897705078125, -30.61855697631836, 7.570889949798584, -1.5076149702072144, -0.09285099804401398, 0.00977300014346838, -0.007249236106872559, 0.1913508176803589, -53.520294189453125, 9.35629653930664, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415546, 5.550000190734863, 99.90699768066406, 10.126424789428711, 11.016554832458496, 8.925228118896484, 3.7384939193725586, 1.7886130809783936, -1.0164790153503418, 0.3592396378517151, 0.31071919202804565, 5.449134826660156, 9.501151084899902, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415556, 5.550000190734863, 99.90599822998047, 0.47377800941467285, 5.833701133728027, -6.283552169799805, 3.657860040664673, 3.616321086883545, -0.9676100015640259, 0.34067535400390625, 0.32609862089157104, -4.954862594604492, 9.414928436279297, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415566, 5.550000190734863, 99.89600372314453, 2.344965934753418, 12.54317569732666, -1.9621139764785767, 3.4061830043792725, 2.8173089027404785, -0.8454369902610779, 0.8005163669586182, 1.0907771587371826, 1.6844778060913086, 8.843018531799316, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415576, 5.539999961853027, 99.89700317382812, -2.4693920612335205, 17.35274887084961, -6.350551128387451, 1.947437047958374, 1.6835439205169678, -0.3176490068435669, 0.6833114624023438, 0.8791301250457764, 1.5016610622406006, 9.022453308105469, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415586, 5.539999961853027, 99.91100311279297, 3.249453067779541, 7.613961219787598, -2.6895320415496826, 0.6279690265655518, 0.8136720061302185, 0.2932150065898895, 0.021861612796783447, -0.3005916476249695, -2.247598886489868, 9.929192543029785, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415596, 5.539999961853027, 99.9000015258789, 8.106882095336914, 6.996613025665283, -2.574676990509033, 0.32742300629615784, 0.4056139886379242, 0.38117900490760803, 0.5993959307670593, 0.7118586301803589, 1.5300605297088623, 9.149715423583984, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415606, 5.550000190734863, 99.90699768066406, 21.34876251220703, 14.34736442565918, -2.7996020317077637, -0.07330299913883209, 0.36163198947906494, 0.6524029970169067, -0.005127310752868652, -0.36313700675964355, 15.072514533996582, 10.16843318939209, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415616, 5.539999961853027, 99.90599822998047, 2.268394947052002, -9.762716293334961, 1.7371890544891357, -0.04153800010681152, 0.5717689990997314, 0.5033519864082336, -0.002262207679450512, -0.20217645168304443, -15.119183540344238, 9.819934844970703, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415626, 5.550000190734863, 99.90899658203125, 9.523432731628418, -1.5409770011901855, 3.4504499435424805, 0.9529489874839783, 0.8527669906616211, -0.1343899965286255, -0.13313491642475128, -0.5816782712936401, -4.476824760437012, 10.12126350402832, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415636, 5.550000190734863, 99.91000366210938, 5.1589250564575195, 3.7519450187683105, -0.11006899923086166, 1.2266169786453247, 1.1068869829177856, -0.39583998918533325, -0.4961143732070923, -1.262636661529541, -4.327353000640869, 10.628288269042969, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415646, 5.550000190734863, 99.90499877929688, 7.044468879699707, 10.949556350708008, -0.2632099986076355, 0.8991929888725281, 0.7843499779701233, -0.41050100326538086, 0.1616266965866089, -0.11069488525390625, 2.962602138519287, 9.761086463928223, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415656, 5.539999961853027, 99.90599822998047, 14.385648727416992, 23.81815528869629, -1.7850450277328491, 0.5082389712333679, 0.4813610017299652, -0.42271798849105835, -0.06949222087860107, -0.49129462242126465, 16.771533966064453, 10.242613792419434, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415666, 5.539999961853027, 99.9209976196289, 99.34999084472656, 105.42776489257812, -9.097511291503906, 0.07818999886512756, -0.6670640110969543, -0.06352899968624115, -0.9063336849212646, -1.8078606128692627, 132.07806396484375, 12.721526145935059, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415676, 5.550000190734863, 99.88899993896484, 120.53125762939453, 120.02877044677734, -5.608776092529297, 0.2101369947195053, 0.45692700147628784, 0.0879639983177185, 0.9148163795471191, 2.779299736022949, 159.6636199951172, 10.437955856323242, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415686, 5.550000190734863, 99.8949966430664, 121.1342544555664, 118.980712890625, -0.5216349959373474, 0.5204570293426514, 0.948062002658844, 0.00977300014346838, 0.915978729724884, 4.314241886138916, 159.30401611328125, 10.482906341552734, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415696, 5.539999961853027, 99.9020004272461, 122.88579559326172, 120.07662200927734, -5.436491966247559, 1.0115920305252075, 1.062904953956604, -0.07085999846458435, 0.6151832342147827, 5.280067443847656, 160.8023223876953, 10.998007774353027, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415706, 5.539999961853027, 99.88999938964844, 123.70413970947266, 120.8853988647461, -6.39362096786499, 1.3536770343780518, 1.089782953262329, -0.15149399638175964, 1.118621826171875, 7.676955223083496, 162.5596923828125, 10.391207695007324, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415716, 5.539999961853027, 99.88800048828125, 121.56495666503906, 122.18230438232422, -4.627717971801758, 1.348789930343628, 1.0848959684371948, -0.15149399638175964, 1.1640034914016724, 9.232121467590332, 161.91543579101562, 10.439889907836914, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415726, 5.539999961853027, 99.87799835205078, 117.90872955322266, 126.51810455322266, -12.160324096679688, 1.4563019275665283, 1.163087010383606, -0.1221729964017868, 1.98268723487854, 12.131478309631348, 163.3961639404297, 9.439689636230469, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415736, 5.539999961853027, 99.88099670410156, 120.14362335205078, 124.05828094482422, -9.896714210510254, 0.9382879734039307, 0.9749400019645691, -0.06108599901199341, 2.118572473526001, 13.776847839355469, 163.2478485107422, 9.428956031799316, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415746, 5.550000190734863, 99.87300109863281, 123.75678253173828, 124.34542083740234, -5.374279022216797, 0.6059780120849609, 0.5937600135803223, 0.051311999559402466, 2.738905906677246, 16.2548770904541, 166.63919067382812, 8.795548439025879, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415756, 5.539999961853027, 99.86399841308594, 123.35000610351562, 122.85708618164062, -4.2305097579956055, 0.6768379807472229, 0.4618139863014221, 0.07085999846458435, 3.1986942291259766, 18.436203002929688, 165.71853637695312, 8.376145362854004, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415766, 5.539999961853027, 99.86199951171875, 124.4698486328125, 119.44491577148438, -10.872984886169434, 0.5424479842185974, 0.2712239921092987, 0.046424999833106995, 3.430060625076294, 20.162397384643555, 164.16989135742188, 8.30387020111084, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415776, 5.539999961853027, 99.86000061035156, 125.57054138183594, 119.41620635986328, -14.883356094360352, 0.07085999846458435, 0.04153800010681152, -0.026877999305725098, 3.825373649597168, 22.134687423706055, 165.1791229248047, 8.052652359008789, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415786, 5.539999961853027, 99.85700225830078, 121.6558837890625, 128.39886474609375, -6.5898332595825195, -0.36896198987960815, -0.18081599473953247, -0.06352899968624115, 4.007130146026611, 23.70119285583496, 168.65577697753906, 8.159589767456055, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415796, 5.539999961853027, 99.84400177001953, 122.71351623535156, 131.75360107421875, -5.335993766784668, -0.7012730240821838, -0.7305939793586731, 0.15638099610805511, 4.746744155883789, 26.26853370666504, 172.432861328125, 7.502545356750488, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415806, 5.539999961853027, 99.83899688720703, 128.7386474609375, 126.72388458251953, -15.16092300415039, -0.7354810237884521, -0.8991929888725281, 0.2370149940252304, 5.554362773895264, 28.94875717163086, 173.8796844482422, 6.759567737579346, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415816, 5.539999961853027, 99.83699798583984, 130.9543914794922, 132.30873107910156, -10.801200866699219, -0.9236279726028442, -0.7428110241889954, 0.09040799736976624, 5.734140872955322, 30.476516723632812, 179.16827392578125, 6.986819744110107, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415826, 5.550000190734863, 99.83300018310547, 131.8445281982422, 135.4481201171875, -11.629117012023926, -0.679282009601593, -0.5277870297431946, 0.11728599667549133, 5.99390983581543, 32.172035217285156, 181.91029357910156, 7.094118595123291, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415836, 5.550000190734863, 99.82499694824219, 133.19407653808594, 136.1611785888672, -11.657831192016602, -0.7159330248832703, -0.6963859796524048, 0.10995499789714813, 6.783947944641113, 34.809635162353516, 183.9954071044922, 6.4674763679504395, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415846, 5.539999961853027, 99.81199645996094, 136.5057373046875, 139.54940795898438, -11.787043571472168, -0.7330380082130432, -0.8967490196228027, 0.07818999886512756, 7.765725135803223, 37.76263427734375, 189.55438232421875, 5.646030426025391, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415856, 5.539999961853027, 99.80500030517578, 137.1757354736328, 140.1332550048828, -12.026326179504395, -0.7843499779701233, -1.0995570421218872, 0.048868998885154724, 8.301005363464355, 39.922279357910156, 190.63856506347656, 5.448470592498779, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415866, 5.550000190734863, 99.7959976196289, 135.79747009277344, 136.33824157714844, -12.30867862701416, -0.796567976474762, -1.3219120502471924, 0.024434000253677368, 8.783466339111328, 41.96003723144531, 187.1244659423828, 5.304503917694092, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415876, 5.539999961853027, 99.78700256347656, 137.05609130859375, 139.2479248046875, -11.60040283203125, -0.8943060040473938, -1.5369360446929932, -0.0048859999515116215, 9.449557304382324, 44.25394058227539, 190.37103271484375, 5.0053791999816895, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1415886, 5.550000190734863, 99.7770004272461, 135.0174102783203, 137.9222869873047, -11.648260116577148, -1.0091489553451538, -1.9645419120788574, -0.058642998337745667, 10.48222541809082, 47.192501068115234, 188.8314666748047, 4.166018486022949, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
