time,callsign,latitude,longitude,altitude,ascent_rate,battery_voltage,baud_rate,crc_ok,ext_humidity,ext_pressure,ext_temperature,modulation,payload_id,raw,satellites,sequence_number,snr,speed,temperature
18:34:44,KC1MOL,31.03903579711914,-103.53671264648438,2225,-66.73,4.0588235294117645,100,True,84,3.1,13.4,Horus Binary v2,KC1MOL,84019E0012222CF24FF841CC12CFC2B1080F0C1ECFEFE58600541F00050097B1,12,158,-6.444743633270264,15,30
18:35:14,KC1MOL,31.03847885131836,-103.53628540039062,2050,-2.58,4.0588235294117645,100,True,1,3.3,13.0,Horus Binary v2,KC1MOL,8401A00012230ECE4EF8419412CFC20208100C1DCFFEFE820001210005007C6F,12,160,-5.172916412353516,16,29
18:35:44,KC1MOL,31.038171768188477,-103.53728485107422,1382,5.01,4.0588235294117645,100,True,218,3.4,13.0,Horus Binary v2,KC1MOL,8401A20012232C2D4EF8411713CFC266050D0C1DCFF5018200DA22000500A189,12,162,-4.988541126251221,13,29
