Timestamp,Pressure1,Temperature1,Pressure2,Temperature2,AdxlX,AdxlY,AdxlZ,LsmAX,LsmAY,LsmAZ,LsmGX,LsmGY,LsmGZ,MagX,MagY,MagZ,Temp,Status,Boot
0.0,97.00007629394531,21.000078201293945,97.69754028320312,22.344696044921875,-173.01780700683594,-0.021988999098539352,-8.976724624633789,-2.1678969860076904,-156.796875,-2.5411770343780518,0.3136790096759796,2.501797914505005,-0.155922994017601,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,0,38
0.01,97.00007629394531,21.000078201293945,97.67781829833984,22.349166870117188,-171.9962615966797,0.021772999316453934,-9.020486831665039,-2.0817549228668213,-156.796875,0.693917989730835,0.38125601410865784,2.501797914505005,-0.09063699841499329,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.02,97.00007629394531,21.000078201293945,97.67980194091797,22.358108520507812,-169.97470092773438,0.0,-10.976510047912598,-0.5359920263290405,-156.796875,-0.7513459920883179,0.499534010887146,2.501797914505005,-0.02878599986433983,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.03,97.00007629394531,21.000078201293945,97.65296936035156,22.349166870117188,-171.9962615966797,0.0,-10.020272254943848,-1.8233299255371094,-156.796875,-1.8999009132385254,0.6191110014915466,2.501797914505005,0.05459500104188919,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.04,97.00006866455078,21.000080108642578,97.65196990966797,22.344696044921875,-168.0186767578125,0.0,-9.99849796295166,-1.7467600107192993,-156.796875,-0.19142499566078186,0.7069230079650879,2.501797914505005,0.1622599959373474,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.05,97.00006866455078,21.000078201293945,97.63639831542969,22.349166870117188,-166.97512817382812,0.021772999316453934,-10.976510047912598,-1.473978042602539,-156.796875,-1.5361919403076172,0.7710639834403992,2.501797914505005,0.2763400077819824,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.06,97.00006866455078,21.000078201293945,97.62397003173828,22.349166870117188,-166.01889038085938,0.021772999316453934,-10.976510047912598,-1.6606180667877197,-156.796875,-1.8520439863204956,0.8291720151901245,2.501797914505005,0.3761399984359741,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.07,97.00006866455078,21.000078201293945,97.60325622558594,22.349166870117188,-165.9971160888672,0.021772999316453934,-10.020272254943848,-1.373479962348938,-156.796875,-1.5218350887298584,0.8471930027008057,2.501797914505005,0.4746420085430145,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.08,97.00006866455078,21.000078201293945,97.58769226074219,22.3536376953125,-164.975341796875,0.021772999316453934,-10.976510047912598,-1.8137590885162354,-156.796875,-1.832901954650879,0.881401002407074,2.501797914505005,0.5680279731750488,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.09,97.00006866455078,21.000078201293945,97.57643127441406,22.3402099609375,-165.01910400390625,0.0,-12.020057678222656,-1.0576269626617432,-156.796875,-2.6895320415496826,0.8912519812583923,2.501797914505005,0.6520220041275024,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.1,97.00006103515625,21.000078201293945,97.56185150146484,22.349166870117188,-162.01953125,0.0,-12.020057678222656,-2.076970100402832,-156.796875,-3.8428730964660645,0.8825470209121704,2.501797914505005,0.7382299900054932,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
0.114,97.00006103515625,21.000078201293945,97.55870056152344,22.3536376953125,-159.9979705810547,-0.021772999316453934,-11.998068809509277,-2.8474578857421875,-156.796875,-4.9770708084106445,0.8664349913597107,2.501797914505005,0.8355870246887207,-1.0477930307388306,0.46463000774383545,-0.0287919994443655,23.3203125,1,38
